architecture_type,deployment_type,communication_type,num_services,num_databases,requests_per_second,avg_payload_kb,read_write_ratio,peak_traffic_multiplier,cpu_utilization_percent,memory_utilization_percent,network_latency_ms,packet_loss_percent,avg_latency_ms,p95_latency_ms,error_rate_percent,db_connection_pool_exhausted,retry_storm_detected,circuit_breaker_open
event_driven,on_prem,async,46,3,180.54,16.24,0.56,2.82,5.27,3.35,36.43,0.46,174.04,347.42,1.05,0,0,0
microservices,cloud,async,10,1,80.49,117.81,0.91,3.12,13.77,100.0,10.01,0.04,197.49,259.27,0.36,0,0,0
serverless,cloud,sync,20,1,82.61,112.05,0.9,1.2,7.41,93.21,20.32,0.54,205.29,414.95,1.6,0,0,0
microservices,hybrid,mixed,29,1,417.1,41.98,0.58,1.76,39.72,36.12,77.72,0.81,451.05,870.72,4.15,0,0,0
event_driven,cloud,sync,46,2,188.81,102.77,0.84,1.37,10.39,75.93,0.89,1.17,125.21,189.25,2.69,0,0,0
monolith,hybrid,sync,4,1,143.59,113.85,0.9,2.75,13.13,92.31,25.89,0.0,145.72,274.29,0.16,0,0,0
serverless,hybrid,sync,45,2,390.48,93.72,0.74,2.18,36.33,73.74,20.76,0.27,226.5,285.24,2.6,0,0,0
hybrid,on_prem,sync,10,1,80.55,21.32,0.66,1.22,7.87,16.76,96.33,0.39,571.32,993.46,1.01,0,0,0
serverless,hybrid,mixed,48,2,170.29,23.88,0.6,3.92,16.37,27.99,9.05,0.3,139.61,204.89,1.2,0,0,0
hybrid,hybrid,mixed,5,1,202.42,98.23,0.88,1.64,12.1,76.2,16.54,0.0,222.3,358.26,0.18,0,0,0
microservices,on_prem,async,28,1,277.97,137.86,0.55,2.69,20.21,100.0,3.65,0.0,179.88,369.83,0.53,0,0,0
hybrid,cloud,sync,44,2,255.01,110.9,0.93,2.01,24.0,87.03,1.74,0.08,172.4,269.66,0.89,0,0,0
event_driven,hybrid,mixed,8,1,238.68,13.03,0.51,3.3,23.83,33.03,61.21,0.16,288.26,599.73,0.98,0,0,0
microservices,hybrid,mixed,27,1,299.89,20.7,0.85,2.43,28.98,14.37,50.99,0.0,313.14,621.12,1.09,0,0,0
monolith,hybrid,sync,2,1,183.76,24.94,0.95,2.58,20.3,25.06,17.13,0.58,91.48,170.0,1.42,0,0,0
serverless,on_prem,mixed,33,1,101.35,66.36,0.74,3.5,6.8,51.3,93.81,0.0,316.28,502.47,0.06,0,0,0
hybrid,cloud,mixed,14,1,254.39,145.24,0.44,2.65,25.2,100.0,52.52,0.0,439.47,807.02,0.76,0,0,0
serverless,on_prem,sync,33,2,171.87,25.86,0.46,3.78,17.34,14.82,138.17,0.69,390.29,764.75,37.35,0,1,1
event_driven,hybrid,sync,45,3,24.61,105.51,0.83,2.32,1.28,90.75,24.81,0.29,202.06,402.94,0.64,0,0,0
event_driven,on_prem,async,17,1,59.6,57.73,0.5,2.27,6.87,52.44,96.02,0.32,387.69,702.76,0.76,0,0,0
microservices,hybrid,sync,52,2,245.39,53.19,0.52,3.82,26.81,48.3,8.49,0.41,164.21,231.16,2.01,0,0,0
monolith,cloud,mixed,3,1,158.83,103.64,0.54,1.05,23.67,82.47,23.1,0.62,147.37,276.0,1.62,0,0,0
hybrid,cloud,async,30,1,214.8,13.43,0.53,1.96,23.75,10.34,9.28,0.96,150.94,316.54,2.97,0,0,0
event_driven,on_prem,mixed,28,1,218.81,140.52,0.66,1.89,17.32,100.0,19.84,0.0,211.19,423.79,0.33,0,0,0
event_driven,on_prem,mixed,41,2,357.44,110.34,0.91,3.06,33.08,99.3,22.03,0.01,238.62,428.22,1.22,0,0,0
serverless,on_prem,sync,40,3,116.44,87.97,0.61,1.97,12.44,68.45,67.5,0.24,283.41,574.26,0.89,0,0,0
event_driven,hybrid,mixed,8,1,91.89,104.92,0.77,1.12,4.54,96.04,101.14,0.49,438.06,875.37,1.09,0,0,0
event_driven,hybrid,mixed,21,1,362.39,106.29,0.74,1.82,28.42,90.31,35.17,0.0,263.22,518.51,0.89,0,0,0
monolith,hybrid,async,4,1,21.4,46.11,0.53,1.04,1.73,38.24,7.53,0.35,72.12,99.6,0.63,0,0,0
hybrid,cloud,sync,25,1,144.3,106.25,0.56,1.77,14.88,91.47,10.71,1.09,209.63,311.38,2.88,0,0,0
event_driven,hybrid,mixed,29,1,377.36,29.96,0.57,3.9,31.85,14.88,78.18,0.8,338.19,494.27,2.88,0,0,0
monolith,hybrid,mixed,3,1,1316.95,21.84,0.43,1.63,100.0,30.96,28.67,0.57,246.36,478.23,10.03,1,0,0
monolith,on_prem,async,1,1,103.46,87.72,0.63,3.53,16.2,65.65,10.13,0.15,110.55,182.02,0.5,0,0,0
hybrid,on_prem,sync,16,1,118.79,91.45,0.53,1.85,5.6,73.05,64.62,0.0,453.57,854.9,0.04,0,0,0
hybrid,hybrid,async,58,3,162.84,132.64,0.43,2.07,16.37,100.0,2.25,0.46,176.74,322.4,1.41,0,0,0
event_driven,cloud,async,48,2,66.64,63.53,0.84,2.6,0.4,56.75,51.14,0.0,251.73,387.14,0.0,0,0,0
microservices,hybrid,async,55,3,91.99,147.71,0.78,1.91,3.37,100.0,6.89,0.15,174.85,284.88,0.39,0,0,0
hybrid,hybrid,async,41,3,76.42,131.89,0.82,3.05,10.7,100.0,32.21,0.0,320.12,539.95,0.14,0,0,0
serverless,cloud,sync,59,3,411.43,138.01,0.41,3.9,41.51,100.0,55.1,0.08,326.33,404.14,2.63,0,0,0
event_driven,hybrid,sync,32,2,89.31,31.8,0.8,3.74,7.61,19.84,0.87,0.75,79.03,122.95,1.71,0,0,0
serverless,cloud,mixed,52,1,82.49,30.29,0.9,1.54,5.34,24.15,36.66,0.0,180.55,347.5,0.04,0,0,0
serverless,cloud,sync,26,1,262.64,107.72,0.59,2.77,17.43,81.39,34.3,0.47,233.89,427.52,1.73,0,0,0
serverless,on_prem,mixed,35,2,100.42,33.57,0.76,1.94,11.13,29.66,61.97,0.85,240.64,424.31,2.54,0,0,0
serverless,cloud,async,6,1,69.2,57.02,0.71,1.6,0.0,48.0,2.45,0.38,126.13,190.54,1.07,0,0,0
event_driven,cloud,mixed,44,2,325.58,29.93,0.83,2.58,22.26,24.93,77.05,0.67,327.95,448.23,2.02,0,0,0
monolith,cloud,async,2,1,161.85,89.88,0.84,1.22,12.95,80.42,61.89,0.75,171.07,279.68,1.5,0,0,0
microservices,cloud,mixed,38,1,98.33,123.25,0.44,2.13,0.93,100.0,57.81,0.49,376.96,720.42,1.27,0,0,0
monolith,cloud,async,2,1,84.72,43.94,0.76,2.21,12.3,40.3,20.9,0.42,96.66,144.03,0.89,0,0,0
event_driven,hybrid,async,12,1,118.32,68.36,0.41,2.47,14.16,65.03,12.23,0.0,154.19,310.12,0.22,0,0,0
hybrid,on_prem,sync,22,1,260.23,119.55,0.54,2.06,11.31,100.0,71.1,0.0,515.22,822.06,0.15,0,0,0
hybrid,hybrid,mixed,49,3,146.48,131.06,0.57,2.98,16.55,100.0,4.8,0.0,189.73,378.4,0.33,0,0,0
event_driven,cloud,async,58,1,184.98,53.3,0.62,1.23,20.07,44.96,63.17,0.24,298.12,359.73,0.97,0,0,0
microservices,cloud,mixed,40,1,104.78,118.0,0.49,2.5,17.15,99.13,5.55,0.0,182.87,377.46,0.38,0,0,0
microservices,cloud,mixed,16,1,108.43,118.03,0.69,1.17,10.84,100.0,47.03,0.08,342.34,431.95,0.35,0,0,0
serverless,on_prem,async,12,1,101.25,125.99,0.6,2.97,10.8,100.0,34.33,0.48,242.83,330.18,1.52,0,0,0
event_driven,on_prem,sync,26,1,208.92,49.06,0.75,1.31,15.66,52.45,74.63,0.0,332.94,443.48,0.27,0,0,0
monolith,hybrid,sync,3,1,243.16,74.47,0.68,1.9,19.39,68.3,61.53,0.37,168.09,218.63,1.0,0,0,0
microservices,hybrid,mixed,38,2,87.09,144.13,0.43,3.54,1.96,100.0,19.01,0.41,222.37,339.04,1.07,0,0,0
microservices,on_prem,sync,11,1,498.65,80.91,0.6,1.19,40.48,61.81,42.82,1.51,332.72,638.97,6.05,0,0,0
monolith,cloud,async,2,1,253.94,82.99,0.43,1.26,18.76,76.26,33.95,0.92,146.46,205.97,1.97,0,0,0
monolith,cloud,sync,1,1,345.81,135.86,0.8,2.52,36.39,93.85,14.54,0.28,167.15,340.73,1.69,0,0,0
hybrid,hybrid,sync,53,3,208.4,90.05,0.61,1.97,7.33,72.43,1.6,0.61,139.5,254.99,1.54,0,0,0
event_driven,cloud,sync,44,1,123.83,20.98,0.43,1.13,9.54,24.73,67.73,0.96,284.79,357.07,2.21,0,0,0
hybrid,hybrid,async,6,1,100.47,106.3,0.51,2.42,16.3,91.18,10.72,0.21,211.1,340.34,0.81,0,0,0
hybrid,on_prem,mixed,47,3,166.34,54.98,0.83,3.1,11.0,42.86,55.58,1.4,389.18,470.29,3.51,0,0,0
event_driven,cloud,async,52,2,89.69,69.6,0.8,3.88,17.04,57.97,28.87,0.76,201.74,272.21,2.0,0,0,0
serverless,on_prem,sync,27,1,166.98,56.75,0.72,3.0,18.08,44.27,41.21,0.28,217.99,375.42,1.23,0,0,0
monolith,on_prem,sync,1,1,201.22,71.48,0.87,3.34,23.05,58.98,2.24,0.0,105.86,207.21,0.48,0,0,0
monolith,cloud,mixed,1,1,625.91,127.82,0.8,2.88,49.31,100.0,13.78,0.1,192.65,398.97,2.37,0,0,0
event_driven,hybrid,sync,39,2,426.49,133.24,0.6,2.71,38.42,98.63,49.84,0.23,329.56,502.72,2.13,0,0,0
microservices,on_prem,async,24,1,174.68,104.93,0.61,3.6,18.06,83.45,1.68,0.78,154.58,280.01,2.45,0,0,0
monolith,on_prem,async,4,1,265.58,66.51,0.77,3.39,25.93,51.2,0.8,0.67,102.09,186.41,1.82,0,0,0
serverless,cloud,async,6,1,232.52,96.15,0.69,2.11,30.8,79.82,1.89,0.3,185.73,335.28,2.18,0,0,0
microservices,cloud,async,45,2,184.67,44.11,0.81,2.48,19.28,25.74,2.27,0.0,112.58,142.7,0.48,0,0,0
microservices,on_prem,async,30,2,329.33,24.51,0.81,2.15,33.22,25.89,1.61,0.4,129.32,215.0,2.47,0,0,0
hybrid,cloud,mixed,56,4,65.31,52.16,0.77,1.99,11.94,44.87,61.84,0.24,423.03,632.05,0.76,0,0,0
microservices,on_prem,mixed,42,3,89.49,117.49,0.77,3.12,5.11,96.25,7.53,0.03,175.43,351.16,0.12,0,0,0
microservices,hybrid,async,5,1,430.13,127.17,0.82,2.22,39.02,95.75,1.25,0.0,193.37,246.2,1.98,0,0,0
microservices,hybrid,sync,23,1,554.12,120.11,0.49,2.68,46.64,96.05,0.9,0.0,204.48,307.64,2.83,0,0,0
microservices,cloud,mixed,13,1,50.88,149.85,0.43,3.26,8.21,100.0,2.12,1.04,160.0,246.38,2.78,0,0,0
monolith,hybrid,mixed,1,1,166.18,27.52,0.5,3.96,10.32,32.04,0.49,1.0,68.05,89.66,1.9,0,0,0
hybrid,on_prem,sync,36,2,169.61,109.7,0.42,2.32,16.94,87.94,2.72,1.14,169.0,254.27,3.07,0,0,0
serverless,cloud,mixed,15,1,50.63,85.87,0.81,3.55,8.59,71.42,16.44,0.0,179.74,338.42,0.1,0,0,0
event_driven,on_prem,async,45,1,124.91,18.72,0.57,2.47,17.38,20.99,10.12,0.37,118.3,167.39,1.15,0,0,0
monolith,on_prem,mixed,2,1,104.84,138.03,0.63,2.01,9.89,100.0,121.12,0.67,244.34,331.38,1.29,0,0,0
hybrid,cloud,async,18,1,283.14,147.12,0.61,1.31,19.31,100.0,8.57,0.0,211.99,381.13,0.45,0,0,0
monolith,cloud,sync,3,1,135.01,118.09,0.88,1.44,12.12,100.0,3.1,0.0,128.7,235.99,0.13,0,0,0
monolith,hybrid,sync,3,1,78.61,43.48,0.49,3.61,0.49,32.66,29.88,0.0,89.71,175.08,0.0,0,0,0
microservices,on_prem,sync,29,1,64.92,82.44,0.55,3.55,10.22,73.19,10.21,0.0,170.87,267.97,0.14,0,0,0
microservices,cloud,sync,29,1,83.75,10.66,0.72,2.99,9.2,26.25,13.65,0.63,146.9,183.3,1.75,0,0,0
event_driven,on_prem,sync,19,1,50.49,128.69,0.9,3.51,0.0,100.0,50.61,0.57,287.19,483.78,1.25,0,0,0
event_driven,hybrid,sync,25,1,118.93,136.99,0.6,1.67,11.3,100.0,9.63,0.0,173.6,269.15,0.14,0,0,0
hybrid,cloud,sync,56,4,127.36,13.85,0.86,1.57,6.41,23.91,5.09,0.0,118.48,214.55,0.05,0,0,0
event_driven,hybrid,async,10,1,251.34,88.34,0.54,3.93,17.94,83.7,29.25,0.0,225.68,422.02,0.35,0,0,0
microservices,hybrid,mixed,53,3,368.42,57.39,0.58,3.14,24.78,49.88,60.86,0.0,372.12,550.52,0.8,0,0,0
event_driven,on_prem,async,9,1,814.55,146.54,0.89,1.08,65.71,100.0,8.7,0.58,253.72,354.07,6.03,0,0,0
hybrid,hybrid,mixed,25,1,148.18,130.9,0.63,1.47,23.08,100.0,4.9,1.0,198.55,355.74,3.03,0,0,0
hybrid,cloud,mixed,24,1,205.71,49.2,0.6,3.86,15.49,32.44,2.23,1.1,119.76,194.64,2.92,0,0,0
event_driven,on_prem,async,22,1,242.06,96.76,0.46,3.82,18.27,79.8,18.84,0.0,191.47,337.5,0.37,0,0,0
event_driven,hybrid,mixed,21,1,64.56,144.24,0.45,1.4,6.84,100.0,82.64,0.0,388.15,671.91,0.05,0,0,0
event_driven,on_prem,async,34,1,85.32,73.73,0.55,3.27,5.52,61.96,52.32,0.73,263.07,360.77,1.64,0,0,0
serverless,on_prem,sync,53,3,296.01,62.38,0.71,1.27,19.86,63.42,72.08,0.28,297.25,439.53,1.34,0,0,0
monolith,cloud,async,1,1,154.5,31.34,0.81,1.21,8.57,25.66,34.15,0.47,95.41,195.03,0.91,0,0,0
hybrid,on_prem,mixed,21,1,134.2,100.68,0.47,2.69,11.53,88.77,5.72,0.0,178.55,334.22,0.16,0,0,0
event_driven,cloud,mixed,48,3,152.99,33.33,0.8,3.81,5.65,16.49,5.8,0.0,89.88,139.43,0.04,0,0,0
monolith,cloud,async,3,1,105.39,8.39,0.58,3.04,3.72,15.13,16.22,0.94,66.25,115.29,1.7,0,0,0
event_driven,on_prem,async,33,2,318.43,74.21,0.55,3.12,27.96,72.17,0.45,0.0,142.7,282.11,0.86,0,0,0
hybrid,on_prem,mixed,48,3,98.01,129.68,0.55,1.64,7.89,100.0,15.03,0.82,231.38,291.37,2.03,0,0,0
microservices,hybrid,mixed,39,2,141.85,20.39,0.78,2.0,14.23,11.72,40.88,0.0,251.9,486.18,0.27,0,0,0
serverless,hybrid,async,48,1,91.39,146.38,0.94,3.35,10.22,100.0,6.62,1.26,186.8,357.72,3.66,0,0,0
hybrid,cloud,async,55,3,494.03,24.49,0.7,1.08,49.17,23.16,14.5,0.0,223.79,293.12,2.9,0,0,0
microservices,hybrid,sync,54,3,58.36,118.52,0.76,2.5,5.25,100.0,64.86,0.08,408.25,700.45,0.25,0,0,0
event_driven,cloud,mixed,46,1,119.53,49.57,0.83,3.2,8.1,44.67,99.19,1.0,392.28,528.12,2.27,0,0,0
hybrid,on_prem,async,38,1,330.09,32.16,0.51,2.76,22.43,16.69,0.29,0.1,108.07,204.82,0.85,0,0,0
microservices,cloud,sync,47,2,695.74,138.91,0.69,1.95,53.96,100.0,7.23,0.45,245.68,469.83,4.95,0,0,0
monolith,on_prem,mixed,4,1,44.69,139.8,0.65,1.11,7.63,100.0,131.81,0.0,252.78,331.35,0.05,0,0,0
serverless,hybrid,mixed,18,1,57.4,57.24,0.88,2.72,3.92,55.15,2.96,0.04,135.17,220.16,0.14,0,0,0
serverless,cloud,sync,42,3,267.8,93.51,0.91,3.58,22.93,76.17,86.43,2.04,340.69,679.45,6.45,0,0,0
hybrid,on_prem,async,11,1,149.85,137.29,0.89,3.74,12.97,100.0,16.81,0.0,245.59,371.88,0.2,0,0,0
monolith,hybrid,sync,3,1,43.59,67.13,0.51,3.39,0.38,64.31,89.0,0.33,173.48,255.41,0.6,0,0,0
serverless,cloud,async,23,1,208.29,73.64,0.75,1.42,6.65,73.27,10.77,0.0,168.12,294.49,0.06,0,0,0
serverless,hybrid,sync,44,3,90.8,130.53,0.88,3.56,0.0,98.91,19.3,1.07,202.97,340.06,2.98,0,0,0
event_driven,hybrid,mixed,41,3,149.04,37.75,0.56,1.95,7.24,33.06,26.84,0.12,165.71,214.4,0.33,0,0,0
serverless,cloud,async,41,3,104.19,36.83,0.55,2.71,5.08,26.07,5.51,0.0,119.34,154.74,0.04,0,0,0
event_driven,hybrid,mixed,40,2,292.09,72.55,0.76,2.29,20.05,59.92,97.87,0.56,414.08,760.28,1.67,0,0,0
event_driven,cloud,async,19,1,206.78,10.69,0.91,3.88,10.39,10.29,13.55,0.82,113.95,197.97,1.93,0,0,0
microservices,on_prem,mixed,15,1,149.22,129.56,0.75,1.91,12.02,100.0,20.89,0.0,239.06,330.41,0.19,0,0,0
event_driven,hybrid,async,28,1,167.39,98.15,0.56,1.06,13.97,89.31,15.07,0.0,183.34,232.35,0.21,0,0,0
serverless,on_prem,sync,30,1,276.21,42.06,0.55,3.47,20.51,24.45,4.63,0.0,133.46,237.09,0.59,0,0,0
monolith,cloud,async,4,1,261.25,3.17,0.73,2.31,26.51,5.37,28.75,0.33,99.35,151.61,1.23,0,0,0
serverless,cloud,sync,40,2,149.02,88.55,0.66,1.89,7.28,74.13,31.69,0.0,211.27,421.29,0.07,0,0,0
monolith,hybrid,mixed,2,1,175.65,138.74,0.82,1.82,5.52,100.0,9.48,0.27,128.52,266.72,0.52,0,0,0
hybrid,hybrid,sync,49,3,105.37,131.03,0.84,1.54,6.05,100.0,2.28,0.33,165.9,250.59,0.84,0,0,0
serverless,on_prem,async,27,1,214.73,87.23,0.71,1.65,18.57,63.42,27.13,0.68,205.72,340.64,2.39,0,0,0
hybrid,on_prem,sync,19,1,252.77,80.45,0.87,1.95,24.8,67.91,27.25,0.0,284.6,391.86,0.74,0,0,0
hybrid,on_prem,mixed,48,3,170.8,82.43,0.93,2.03,3.37,65.81,21.7,0.24,231.07,317.37,0.59,0,0,0
microservices,hybrid,sync,47,1,273.12,97.78,0.75,2.78,23.15,79.86,14.44,0.0,209.07,347.88,0.7,0,0,0
hybrid,hybrid,mixed,7,1,77.74,122.7,0.86,3.64,0.65,100.0,8.46,0.0,192.88,364.09,0.0,0,0,0
hybrid,cloud,sync,25,1,111.24,118.48,0.48,2.61,12.72,100.0,93.57,0.58,629.13,1121.98,1.59,0,0,0
microservices,on_prem,async,25,1,774.05,140.26,0.48,2.66,62.28,100.0,3.89,0.07,246.95,419.4,5.22,0,0,0
monolith,on_prem,mixed,2,1,205.39,25.6,0.7,3.65,11.06,23.78,43.48,0.0,106.03,133.96,0.11,0,0,0
event_driven,cloud,sync,9,1,197.05,37.7,0.84,2.81,10.0,36.85,5.88,0.54,108.35,206.03,1.29,0,0,0
hybrid,on_prem,mixed,56,3,159.88,60.72,0.42,1.71,5.88,50.87,9.64,0.48,160.69,322.42,1.2,0,0,0
serverless,cloud,sync,21,1,219.11,36.72,0.59,2.27,12.77,22.36,39.31,0.04,192.08,288.31,0.35,0,0,0
serverless,on_prem,async,37,1,79.77,64.65,0.75,1.99,18.46,48.04,7.16,0.67,153.3,308.86,2.34,0,0,0
event_driven,cloud,async,15,1,91.8,84.95,0.59,1.07,18.51,72.84,2.49,0.0,136.77,256.64,0.38,0,0,0
serverless,on_prem,sync,29,1,234.6,104.18,0.59,3.41,23.88,82.76,8.04,0.17,190.88,371.66,1.26,0,0,0
monolith,hybrid,sync,2,1,162.43,96.27,0.53,3.69,12.99,79.4,27.84,0.7,136.18,266.25,1.41,0,0,0
serverless,cloud,async,24,1,55.31,129.95,0.72,1.48,9.77,100.0,49.14,0.05,271.38,409.62,0.29,0,0,0
serverless,on_prem,async,20,1,189.44,121.84,0.9,3.78,24.15,94.21,25.11,0.0,235.48,437.94,0.82,0,0,0
serverless,hybrid,mixed,21,1,105.01,50.38,0.92,3.1,6.46,63.06,30.37,0.66,198.59,329.34,1.92,0,0,0
hybrid,hybrid,mixed,12,1,130.21,129.45,0.83,3.17,13.44,100.0,33.11,0.0,327.64,521.11,0.22,0,0,0
monolith,on_prem,sync,2,1,165.07,147.66,0.95,1.92,13.8,100.0,4.46,0.0,131.95,268.33,0.17,0,0,0
hybrid,on_prem,async,37,2,718.63,74.0,0.92,1.55,55.4,52.17,17.13,0.09,269.05,557.0,3.89,0,0,0
serverless,cloud,mixed,7,1,108.74,15.89,0.67,1.78,6.43,23.25,49.74,0.41,207.07,290.66,1.22,0,0,0
microservices,cloud,mixed,40,2,259.81,3.94,0.6,3.35,22.17,5.4,14.89,0.37,154.31,294.93,1.61,0,0,0
monolith,cloud,async,3,1,106.73,131.3,0.57,2.49,13.97,100.0,50.03,0.0,177.71,333.88,0.18,0,0,0
serverless,hybrid,async,48,2,66.31,82.53,0.62,3.01,0.0,60.27,69.72,0.0,270.49,431.32,0.0,0,0,0
monolith,hybrid,async,1,1,106.86,18.63,0.5,2.22,9.66,22.94,34.42,1.16,94.93,157.05,2.18,0,0,0
serverless,on_prem,sync,34,1,186.24,10.33,0.52,2.01,4.61,16.53,4.36,0.07,110.33,141.82,0.21,0,0,0
event_driven,hybrid,mixed,58,3,113.23,10.51,0.94,3.03,7.15,18.94,3.94,0.0,87.22,124.96,0.06,0,0,0
microservices,cloud,sync,16,1,142.31,8.8,0.92,3.19,6.73,6.83,82.28,0.9,406.89,827.76,2.4,0,0,0
serverless,cloud,mixed,27,1,47.24,146.34,0.76,2.16,8.01,100.0,8.82,0.53,188.97,256.6,1.57,0,0,0
monolith,on_prem,async,4,1,51.22,98.17,0.58,3.21,10.86,86.48,85.16,0.29,197.34,277.5,0.64,0,0,0
serverless,cloud,mixed,45,1,111.12,10.74,0.74,3.71,3.38,3.77,0.61,0.13,94.65,146.26,0.38,0,0,0
microservices,hybrid,sync,35,2,27.44,64.64,0.94,1.08,0.0,47.59,69.99,1.01,380.89,562.24,2.62,0,0,0
serverless,on_prem,sync,58,3,82.39,73.92,0.69,2.04,9.93,50.06,13.04,0.63,156.83,218.37,1.91,0,0,0
microservices,on_prem,mixed,15,1,227.09,76.23,0.44,2.57,34.48,65.71,0.23,0.03,156.34,283.02,1.64,0,0,0
microservices,cloud,sync,24,1,115.16,106.59,0.74,1.24,17.42,85.45,83.02,0.0,480.9,932.07,0.39,0,0,0
serverless,on_prem,sync,53,3,450.79,73.64,0.56,1.58,38.92,65.32,85.12,0.0,352.14,438.31,2.12,0,0,0
event_driven,cloud,async,22,1,186.92,33.31,0.93,2.24,31.33,26.07,19.03,0.0,167.33,302.02,1.08,0,0,0
hybrid,on_prem,mixed,5,1,240.73,20.08,0.82,1.69,22.89,9.63,19.22,0.0,199.08,279.17,0.63,0,0,0
serverless,on_prem,sync,56,1,248.72,56.27,0.68,1.08,18.18,34.48,2.17,0.62,132.71,248.33,2.21,0,0,0
monolith,on_prem,async,3,1,94.31,90.79,0.41,1.38,7.21,69.19,27.93,0.29,121.58,233.1,0.56,0,0,0
hybrid,on_prem,sync,19,1,131.84,144.53,0.9,2.03,11.04,100.0,10.93,1.26,214.1,448.67,3.18,0,0,0
microservices,hybrid,mixed,47,3,142.66,2.86,0.86,1.81,5.34,20.08,34.74,1.46,223.46,454.03,3.84,0,0,0
event_driven,cloud,sync,33,1,106.01,43.35,0.43,2.49,6.16,38.47,20.9,1.97,150.91,205.53,4.37,0,0,0
microservices,cloud,sync,40,1,114.64,33.44,0.94,1.37,5.18,30.65,31.8,0.75,218.83,427.8,1.98,0,0,0
event_driven,hybrid,sync,16,1,170.47,57.94,0.52,3.03,13.5,40.58,49.26,1.05,245.11,489.08,2.52,0,0,0
event_driven,on_prem,async,23,1,78.01,22.83,0.9,3.79,19.35,19.67,47.11,1.28,230.85,467.36,3.23,0,0,0
hybrid,cloud,mixed,8,1,150.54,33.63,0.68,2.97,21.07,16.35,11.87,0.44,163.95,343.1,1.58,0,0,0
event_driven,hybrid,sync,46,3,230.66,31.71,0.93,2.94,26.92,36.43,18.59,0.29,167.13,271.27,1.44,0,0,0
hybrid,on_prem,sync,58,3,55.89,95.46,0.78,1.91,0.0,70.92,5.5,0.95,152.4,235.83,2.27,0,0,0
event_driven,on_prem,mixed,37,2,44.31,6.92,0.61,2.13,7.14,9.85,72.29,1.11,286.71,346.37,2.5,0,0,0
serverless,hybrid,async,9,1,70.94,97.23,0.78,1.93,9.48,79.01,2.52,0.63,159.28,325.64,1.89,0,0,0
serverless,on_prem,async,23,1,263.5,69.46,0.49,2.14,25.37,56.35,40.11,0.0,234.87,305.34,0.9,0,0,0
hybrid,on_prem,sync,13,1,565.75,135.35,0.51,2.82,49.82,100.0,66.69,0.0,548.16,671.87,2.98,0,0,0
monolith,hybrid,sync,3,1,432.8,9.53,0.8,1.43,32.96,20.95,10.91,0.66,100.07,181.07,2.17,0,0,0
event_driven,cloud,async,10,1,175.76,39.04,0.92,1.2,20.56,25.58,13.64,1.65,135.95,249.24,4.1,0,0,0
microservices,hybrid,mixed,51,3,52.08,79.78,0.44,3.26,8.7,70.06,21.63,0.1,212.35,291.34,0.37,0,0,0
event_driven,cloud,async,18,1,384.65,70.87,0.41,1.23,26.89,58.32,25.16,0.33,203.8,404.79,1.52,0,0,0
microservices,on_prem,mixed,32,2,87.39,34.37,0.82,1.31,9.21,34.69,35.1,0.0,238.74,355.61,0.11,0,0,0
microservices,on_prem,sync,31,2,149.41,17.98,0.82,2.31,17.0,31.68,53.09,0.04,317.25,497.75,0.48,0,0,0
event_driven,hybrid,sync,46,1,63.93,119.97,0.63,3.62,1.94,82.67,38.9,0.14,237.63,453.3,0.31,0,0,0
event_driven,on_prem,mixed,48,1,264.73,41.39,0.66,1.24,19.38,42.66,107.26,0.0,427.76,833.04,0.41,0,0,0
serverless,cloud,sync,25,1,239.73,8.55,0.8,2.67,20.61,6.78,39.26,0.03,191.95,262.85,0.68,0,0,0
event_driven,on_prem,mixed,13,1,85.1,37.78,0.51,2.87,3.97,28.66,79.49,1.03,317.68,569.56,2.29,0,0,0
event_driven,on_prem,mixed,35,2,386.93,13.19,0.56,2.1,26.07,0.0,7.02,1.55,108.8,183.51,4.16,0,0,0
event_driven,cloud,async,54,4,113.84,114.01,0.94,2.86,8.18,92.15,21.28,0.39,198.3,271.14,0.94,0,0,0
microservices,on_prem,sync,34,1,167.63,137.77,0.4,3.93,18.51,100.0,51.59,0.26,369.48,682.28,1.11,0,0,0
monolith,cloud,async,1,1,194.01,82.45,0.42,2.04,13.68,72.22,13.95,1.25,116.94,191.86,2.42,0,0,0
microservices,cloud,async,54,1,224.94,149.69,0.93,3.97,17.28,100.0,84.31,0.15,498.84,852.81,0.77,0,0,0
serverless,cloud,mixed,30,1,81.34,9.25,0.81,1.97,10.63,0.0,41.25,0.52,181.15,376.62,1.63,0,0,0
monolith,on_prem,sync,3,1,80.17,125.83,0.94,2.78,10.23,100.0,38.34,0.0,161.92,217.82,0.09,0,0,0
microservices,cloud,sync,48,1,118.78,35.4,0.54,1.2,8.81,28.64,0.71,0.11,96.42,130.82,0.39,0,0,0
serverless,hybrid,mixed,29,1,458.38,139.88,0.74,3.23,38.5,100.0,8.52,0.0,228.44,318.98,2.07,0,0,0
microservices,hybrid,mixed,58,1,148.7,89.48,0.71,2.3,3.7,81.01,16.85,0.18,198.12,239.18,0.5,0,0,0
event_driven,hybrid,async,32,2,116.3,96.14,0.93,2.0,11.18,80.64,4.3,0.0,140.34,251.26,0.14,0,0,0
serverless,on_prem,mixed,59,4,187.13,117.98,0.68,2.24,21.1,90.35,45.99,0.42,269.75,427.01,1.81,0,0,0
